,company_name,job_title,experience,salary,location,desc,skills
2828,GlobusSoft,Junior Data Scientist - Bangalore,1-3 Yrs,"2,00,000 - 5,00,000 PA.",Bengaluru(5th block Koramangala)," Must have skills: Python, ML/DL, NLP, Web/Data Scraping Selecting features, building an...","Natural Language Processing ,Machine Learning ,Python ,Predictive Modeling ,Data Science ,NLP ,NoSQL ,Data Mining ,"
2829,Hyper Thread Solutions Pvt. Ltd.,Hiring For Data Scientist 3-7 Years Experience,3-7 Yrs,Not disclosed,Hyderabad, Must have worked hands on in either one of these areas - Chatbots / Computer Vision / N...,"IT Skills ,Python ,Data Science ,Machine Learning ,Artificial Intelligence ,Tensorflow ,Nltk ,Data Science ,"
2830,Walmart Labs,Staff Data Scientist,5-10 Yrs,Not disclosed,Bengaluru, You preferably have domain knowledge of eCommerce PhD / Doctor of Philosophy or Master ...,"Computer science ,Computer vision ,deep learning ,data science ,Data modeling ,Machine learning ,E-commerce ,Data processing ,"
2831,DataWeave Software Pvt Ltd,Data Scientist,2-5 Yrs,Not disclosed,Bengaluru, Be proficient in Git and other essential software development toolsExperience building ...,"Computer vision ,deep learning ,Backend ,data science ,Machine learning ,Data processing ,Natural language processing ,Research ,"
2832,Larsen & Toubro Infotech Limited,SR DATA Scientist,5-9 Yrs,Not disclosed,India, Job Description Python Machine Learning and Deep Learning Natural Language Processing T...,"IT Skills ,Python ,Data Science ,Machine Learning ,Artificial Intelligence ,deep learning ,Data analysis ,data science ,"
2833,CarbyneTech India,Data Scientist - Machine Learning/APICS,3-8 Yrs,Not disclosed,Hyderabad, Must have APICS CPIM Certification Manufacturing domain - predictive and online quality...,"Data Science ,R ,APICS ,NLP ,Neural networks ,Artificial Intelligence ,Data Management ,Machine Learning ,"
2834,GlaxoSmithKline Pharmaceuticals Limited,Global Medical Data Scientist,5-7 Yrs,Not disclosed,"Bengaluru, India"," medical voice of customer feedback, customer listening, feedback from surveys and resea...","Data Science ,NLP ,Text Analytics ,Artificial Intelligence ,Natural Language Processing ,Advanced Analytics ,Jupyter ,Machine Learning ,"
2835,Mobiotics IT Solution Pvt Ltd,Data Scientist,2-5 Yrs,"5,00,000 - 10,00,000 PA.",Bengaluru(HSR Layout), 5 Years of solid experience in data analytics and MLDegree in Data Science preferred wi...,"Big Data Analytics ,ELK ,Postgresql ,Cassandra ,Kafka ,Jupyter Notebook ,Machine Learning ,Numpy ,"
2836,Lentra AI Private Limited ,Data Scientist,3-5 Yrs,Not disclosed,Pune, Lentra relies on rich insightful data to power our credit risk models and scorecards. C...,"Java ,Lstm ,Artificial Intelligence ,Neural Networks ,Node.Js ,Clustering ,Machine Learning ,Deep Learning ,"
2837,krtrimaIQ AI Solutions,Sr Data Scientist,5-8 Yrs,Not disclosed,Bengaluru, Interface with the customers to understand the problem and provide required solutions C...,"IT Skills ,Machine Learning ,Computer science ,Computer vision ,deep learning ,Data analysis ,Neural networks ,Machine learning ,"
2838,Abzooba India Infotech Private Limited,Opening For Data Scientist Role !! PUNE!!,3-6 Yrs,Not disclosed,Pune(Baner)," Hands-on experience with machine learning and deep learning algorithms such as SVM, kNN...","Operational Excellence ,Pyspark ,CNN ,Natural Language Processing ,Tenserflow ,Neural Networks ,Architectural Design ,KNN ,"
2839,Abzooba India Infotech Private Limited,Opening For Data Scientist Role !! PUNE!!,3-6 Yrs,Not disclosed,Pune(Baner)," Hands-on experience with machine learning and deep learning algorithms such as SVM, kNN...","Operational Excellence ,Pyspark ,CNN ,Natural Language Processing ,Tenserflow ,Neural Networks ,Architectural Design ,KNN ,"
2840,CAIA-Center For Artificial Intelligence & Advanced Analytics,Immediate opening For Data Scientist/Data Analyst,0-3 Yrs,"3,50,000 - 4,50,000 PA.","Chennai, Pune, Bengaluru, Hyderabad", In case you are trying to shift your career to Analytics and / or AI domain please do c...,"Business Intelligence ,Artificial Intelligence ,Natural Language Processing ,Neural Networks ,Data Mining ,Machine Learning ,Deep Learning ,SQL ,"
2841,A Big Digital Group,NLP Engineer/ Data Scientist/ Data science,5-7 Yrs,"12,00,000 - 22,00,000 PA.",Mumbai, 5+ years of overall experience with minimum 1 year in the field of Natural Language Pro...,"Natural Language Processing ,Machine Learning ,Deep Learning ,Data Science ,NLP ,Algorithms ,Data Structures ,Classification ,"
